大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　語　嚩(無可反)拏　vaṇa

　　應　鉢羅底喻多　pratyuta

　　語　阿(引)攞波門(俓)答　

　　說　泥(去)賒哆又婆史多　deśata蒪bhaṣita

　　勅　阿吉孃　a

　　奏　尾吉孃波底　vipati

　　講　尾也企也曩　vyakhyana

　　論　嚩戍曩　vaśuna

　　一邊　翳咤迦(又云偏也)　eṭaka

　　聽許　阿拏日喏哆　aṇajijata

　　讚　戍怛羅　śutra

　　詠　薩哆嚩　stava

　　歌　捨(引)以　gāyi

　　歌　捨(引)駄嚩(無可反)　śādhava

　　笑　賀娑也又賀𭇟多　hasaya蒪hasita

　　哭　[口*束*頁](去)縛　rava

　　啼哭　嚕娜底　rudati

　　吉　(如下)

　　凶　(如下)

　　𠮧　卜迦(去)𭐘　muḥkale

　　嗹　㗚他(去)尾地　rthavidhi

　　𡄇　迦(去)(引)娑　kāda

　　鼻　(如前)

　　獨　迦嚩嚂　kavalaṃ

　　偏　(如前已有)

　　嗅　蘇(上)娜舍(二合)　sudśa

　　氣　臭氣之類誐駄　gandha

　　名聞　耶舍　yaśa

　　臭　納誐馱　dugandha

　　香　素誐駄　sugandha

　　舌　(如前)

　　飢　素覩乞史娜又紇數馱　stukṣida蒪kṣudha

　　飽　阿捨拏　aśaṇa

　　喫　地娜又蒲喏娜　dhida蒪pūjada

　　飲　比縛　piva

　　嚼　析喇嚩　carva

　　啗　阿薩駄訶　aśadaha

　　味　羅娑　rasa

　　羹　麼叻瑟姹　mṛṣṭa

　　噉　佉馱耶　khadaya

　　癭　訖㗚捨　kriśa

　　肥　母吒吒　moṭṭa

　　瘦

　　樂　素佉　sukha

　　苦　納佉　duḥkha

　　始　阿怛多　a

　　終　阿娜比　adapi

　　甜　麼度囉　madhura

　　苦　底訖多(二合)　tikta

　　辛　迦柱迦　kaṭuka

　　嫌　乳遇(上)鉢多　jugupta

　　酢　阿銘攞　amela

　　喧

　　靜　舍底　śanti

　　渴　涅哩(二合)始　dṛśi

　　身　迦(去)(引)野　kāya

　　酌　捺喇地　dardhi

　　斟　折吒補迦　caṭapūka

　　觸　薩婆羅奢(二合)　svarśa

　　著　攞輸　laśu

　　封　母捺羅(亦印也)　mudra

　　持　駄𭋱又駄羅　dhare蒪dharaḥ

　　堀　涅蘇達彌　nirsudami

　　打　比嶶(而上反)　pi

　　駈使　揭刺麼迦羅　karmmakara

　　執　旨麼𭐘羅訶　vimaleraha

　　研　設始　śaśi

　　破　薜陀又朅拏　bhidha蒪kaṇa

　　縛　畔陀　bandha

　　牢　頴施也又涅鞞達儞　yeśya蒪nirbidhani

　　押　比始　piśi

　　推　儞瑟迦悉多　diṣikasta

　　移　散柘羅　saṃcāra

　　打碎　畔闍　varja

　　擊　跛羅訶儞　prahadi

　　吹　布囉以　purayi

　　殺　鉢囉拏底　praṇati

　　打　賀曩　hana

　　燒　諾賀　daha

　　煮　跛者抳　pacaṇi

　　破　(前已有之)

　　斷　吒捺娜儞底　ṭadananiti

　　施設　鉢羅駄曩比也帝　pradanapyata

　　縛　滿駄又縛訶　bandha蒪vaha

　　放　弭里又誐車底　mṛ蒪gachati

　　痛　戍攞　śula

　　滅　尾娜捨　vidaśa

　　可　阿縛悉衍　avasyaṃ

　　助　娑訶也　sahaya

　　脩造　喻馹曩　yujina

　　護　跛攞　pala

　　世　路迦　ruka

　　快　素悌　sudhe

　　暖　烏瑟拏(二合)　uṣṇa

　　寒　世多　śeta

　　勢　嗢訶可又捺沙訶　uhaha蒪daṣaha

　　力　麼攞　bala

　　弱　納喇麼羅　duravala

　　熱　馹嚩囉　jvala

　　生

　　熟　鉢訖縛　pakṣa

　　癢　迦拏姹(二合)迦　kaṇṭaka

　　病　弭也(引)地　myādhi

　　差　薩者(二合)悉底(二合)　stasti

　　瘡　瑟車　ṣi

　　養　跛里嚩羅　paripāra

　　務　迦羅抳　karaṇi

　　坐　妹(無背反)捨又儞沙儞也　maiśa蒪niṣadya

　　起　烏怛他(二合)　utta

　　臥　勢耶　śeya

　　敬　麌嚕　guru

　　合掌　建捨諾佶指　kaṃśadakṣi

　　合十指　沙禪里　ṣajaṃri

　　馳　喏嚩　java

　　隨　努揭哆　nugata

　　行　薩怛麼又阿柘囉　satama蒪acara

　　走　駄(引)嚩　dhāva

　　住　底瑟吒(二合)又悉地哆　tiṣṭa蒪sthita

　　禮　末捺南又末儞弟(古言和南)　vadanaṃvande

　　得　鉢羅鉢多　prapta

　　德　麌囔　guṇa

　　立　烏設囉(二合)掣　uśracche

　　在

　　位　阿掣　acche

　　催　始佉覽　śighraṃ

　　策　野曩(亦乘也)　yana

　　取　疑叨訖囔　gṛhṇa

　　往　夜底　yati

　　遣　散畢禮史哆　saṃpreṣita

　　能　設枳也　śakya

　　去　誐車又誐哆　gaccha蒪gata

　　來　阿誐車又阿誐哆　agaccha蒪agata

　　問　鉢哩(二合)車茗　pṛchame

　　相向　毘目佉　vimukha

　　親　於也補多賜　bhūtasi

　　等　素者　suca

　　對面　阿毘目地　avimuddhi

　　何處去　計拏羅誐車栖　keṇaragachase

　　彼去　怛栖誐車銘　tasegachame

　　流　窣嚕哆　srota

　　散　尾鉢囉枳喇曩　viprakrana

　　落　跛底哆　patita

　　浮　鉢攞嚩　prava

　　此　翳賀又翳難又翳哆　eha蒪enaṃ蒪eta

　　處　薩他多　sathata

　　方　泥捨又素儞厥數　deśa蒪sunikṣu

　　名　娜麼　nama

　　行　薩迦羅　skara

　　積　句吒　kuṭa

　　[日*下]　阿儞始　adiśi

　　歸　捨羅曩　śaraṇaṃ

　　逆　誐訶捨嚕　gahaśaru

　　順　阿都路麼　atuloma

　　國　尾沙野　viṣaya

　　急　始竭藍　śighraṃ

　　緩　尾娑悌(引)　visadhe

　　如　跛他(去)又也儞　patha蒪yani

　　聚　散伽哆　suṃghata

　　散　(前已有)

　　滅　(前有之)

　　乏　戍多　śuta

　　息　尾戍麼　viśuma

　　東　布㗚嚩　purva

　　內　毘也捺哆覽　vyadatraṃ

　　外　嚩呬喇駄　vahirdha

　　無始　阿努婆嚩底　anubhavati

　　初　阿儞　adi

　　南　捺乞史(二合)拏　dakṣaṇa

　　西　跛室制麼　paśvema

　　北　烏多羅　uttara

　　上　烏波羅又嗢𡀔喇駄縛　upara蒪uloraddha

　　下　係瑟姹(二合)麼　heṣṭama

　　中　寧𠆙也　nedhyaya

　　間　阿娜(重)羅　addara

　　寬　尾悉底(二合)㗚拏(二合)　vistirṇa

　　窄　糝但質多　santacitta

　　廣　尾布羅　vipura

　　普　娑末捺哆　samantata

　　遠　弩羅　dūra

